"ID","Severity","Where","Book chapter","Ruled"
"C-009","moderate","Reviewer 2 comment 3 and the manuscript's implicit framing","ch. 4","2026-08-05"
"C-011","moderate","Manuscript sec. 2.1","ch. 6","—"
"C-013","moderate","Appendix D draft sec. D.2.3, level-3 item prior","ch. 10","2026-08-05"
"C-010","moderate","Scope caveat, not a manuscript error","ch. 16","—"
"C-014","moderate","Appendix F draft sec. F.4, partial identifiability of G","ch. 16","2026-08-05"
"C-012","minor","Manuscript sec. 2.1, standard error","ch. 6","—"
"C-001","minor","Table 2, S and H columns","ch. 8","2026-08-05"
"C-004","minor","Estimator vs design parameter","ch. 8","—"
"C-005","minor","Appendix C draft eq. (C.13)","ch. 8","—"
"C-006","minor","Appendix C draft eq. (C.23)-(C.24)","ch. 8","—"
"C-008","minor","Manuscript reference list","ch. 21","2026-08-05"
"C-007","none","Manuscript sec. 6.1, sample-size context","ch. 1","—"
"C-002","none","Reliability attribution","ch. 8","—"
"C-003","none","Strata formula provenance","ch. 8","—"
